iter	RMSE
0	5500.263503
1	4843.970605
2	4386.46827
3	4023.528303
4	3808.483584
5	3615.24533
6	3467.018054
7	3341.791932
8	3204.669865
9	3110.10166
10	3024.138625
11	2978.334094
12	2895.595719
13	2836.053563
14	2755.720922
15	2704.6973
16	2666.251653
17	2638.366476
18	2595.677099
19	2539.362412
20	2508.292749
21	2468.298757
22	2436.704164
23	2409.91159
24	2389.93358
25	2378.002297
26	2325.975604
27	2305.967446
28	2293.327132
29	2276.428436
30	2269.997243
31	2244.957813
32	2237.444907
33	2220.385421
34	2200.683292
35	2165.368756
36	2149.129633
37	2145.956399
38	2130.01436
39	2120.415979
40	2113.708302
41	2097.251699
42	2061.368455
43	2046.169393
44	2023.327129
45	2004.806376
46	1975.834716
47	1954.311208
48	1943.962386
49	1917.283609
50	1892.355072
51	1865.890704
52	1854.230884
53	1835.828501
54	1805.695192
55	1772.111584
56	1755.30173
57	1746.660475
58	1727.293363
59	1712.88576
60	1694.093764
61	1692.970361
62	1680.822737
63	1659.682795
64	1650.244828
65	1630.990678
66	1626.530864
67	1625.799949
68	1605.190052
69	1591.938312
70	1584.542475
71	1573.052225
72	1561.280308
73	1545.367784
74	1534.473027
75	1520.685997
76	1519.997281
77	1517.36308
78	1512.964084
79	1497.419244
80	1480.363436
81	1463.760894
82	1459.565108
83	1449.593299
84	1441.642626
85	1430.326768
86	1412.240624
87	1403.758076
88	1398.357851
89	1374.493255
90	1353.144131
91	1344.173083
92	1329.456545
93	1317.303173
94	1312.940506
95	1305.259933
96	1301.833828
97	1281.521545
98	1275.265989
99	1269.154558
