iter	Passed	Remaining
0	0	89
1	1	80
2	2	72
3	3	72
4	3	70
5	4	68
6	5	68
7	5	67
8	6	67
9	7	66
10	8	65
11	8	64
12	9	62
13	10	62
14	10	60
15	11	60
16	12	59
17	12	58
18	13	57
19	14	57
20	14	56
21	15	55
22	16	55
23	17	54
24	18	54
25	19	54
26	19	53
27	20	52
28	21	52
29	22	52
30	22	51
31	23	50
32	24	49
33	25	48
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	29	44
40	30	44
41	31	44
42	32	43
43	33	42
44	33	41
45	34	40
46	35	39
47	35	38
48	36	38
49	37	37
50	38	36
51	38	35
52	39	35
53	40	34
54	40	33
55	41	32
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	45	27
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	49	23
68	50	22
69	51	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	56	16
77	56	16
78	58	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	66	8
89	67	7
90	68	6
91	68	5
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	75	0
